Country,Scenario Flare Volume,Scenario PM,EEfficiency
Sweden,0.004353936,9.71664,0
Qatar,12.86112674,265.3039,0.05
United Arab Emirates,12.41018633,96.9255,0.13
Saudi Arabia,28.01757263,128.9134,0.22
Egypt,30.28795887,86.9505,0.35
New Zealand,0.748632909,1.50722,0.5
Norway,2.865537892,5.53718,0.52
China,27.48474398,51.76866667,0.53
Mexico,64.32623466,36.87466667,1.74
Canada,17.17982059,9.582046667,1.79
Iraq,216.5742736,84.0275,2.58
"Iran, Islamic Rep.",201.7560805,56.96333333,3.54
Libya,58.61691423,13.7588,4.26
Nigeria,96.46337315,15.0727,6.4
Algeria,110.8714324,13.42893333,8.26
United States,138.726394,12.21455667,11.36
"Venezuela, RB",112.8080338,9.726566667,11.6
Russian Federation,305.2307746,24.287,12.57
