"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
121645,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""40.7""","=""57.4""","=""78.1""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121660,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""45.1""","=""60.1""","=""78.5""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121661,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""48""","=""62.3""","=""78.2""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121662,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""49.3""","=""63.9""","=""80.8""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121663,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""49.1""","=""64.9""","=""85.8""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121646,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""45.9""","=""65.3""","=""90.6""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121664,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""48.5""","=""64.7""","=""85.9""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121665,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""49.5""","=""63.4""","=""82.2""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121666,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""48.4""","=""61.8""","=""79.8""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121667,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""45.9""","=""60.5""","=""78.5""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121647,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""42.9""","=""60""","=""82.1""","=""2000""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121668,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""45.6""","=""60.1""","=""78""","=""2001""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121669,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""46.8""","=""60.3""","=""75.6""","=""2002""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121670,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""47.2""","=""60.7""","=""75.4""","=""2003""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121671,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""46.4""","=""61.2""","=""79.3""","=""2004""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121648,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""44.8""","=""61.8""","=""85.7""","=""2005""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121672,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""48.8""","=""63.8""","=""84.8""","=""2006""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121673,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""53.2""","=""67.5""","=""86.9""","=""2007""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121674,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""56.3""","=""71.6""","=""93.5""","=""2008""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121675,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""57.3""","=""75.1""","=""99.8""","=""2009""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121649,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""55.2""","=""76.5""","=""108""","=""2010""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121650,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""44.5""","=""62""","=""85.4""","=""2011""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121651,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""44.8""","=""61.7""","=""84.6""","=""2012""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121652,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""50.2""","=""70.1""","=""97.5""","=""2013""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121653,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""46.3""","=""66.1""","=""91.9""","=""2014""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121654,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""47.3""","=""67.6""","=""92.5""","=""2015""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121655,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""44.5""","=""61.5""","=""83.3""","=""2016""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121656,"=""country""","=""Egypt""","=""EGY""","=""country""","=""Egypt""","=""43.3""","=""58.9""","=""80.4""","=""2017""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
