"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
123505,"=""country""","=""United Arab Emirates""","=""ARE""","=""country""","=""United Arab Emirates""","=""35.4""","=""44.3""","=""55.9""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123520,"=""country""","=""United Arab Emirates""","=""ARE""","=""country""","=""United Arab Emirates""","=""36.3""","=""44.2""","=""53.9""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123521,"=""country""","=""United Arab Emirates""","=""ARE""","=""country""","=""United Arab Emirates""","=""37""","=""44.1""","=""52.3""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123522,"=""country""","=""United Arab Emirates""","=""ARE""","=""country""","=""United Arab Emirates""","=""36.8""","=""44.1""","=""52.2""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123523,"=""country""","=""United Arab Emirates""","=""ARE""","=""country""","=""United Arab Emirates""","=""36""","=""44""","=""54""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123506,"=""country""","=""United Arab Emirates""","=""ARE""","=""country""","=""United Arab Emirates""","=""34.4""","=""44""","=""55.9""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123524,"=""country""","=""United Arab Emirates""","=""ARE""","=""country""","=""United Arab Emirates""","=""35.9""","=""44""","=""53.7""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123525,"=""country""","=""United Arab Emirates""","=""ARE""","=""country""","=""United Arab Emirates""","=""36.9""","=""44.1""","=""52.4""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123526,"=""country""","=""United Arab Emirates""","=""ARE""","=""country""","=""United Arab Emirates""","=""37""","=""44.1""","=""52.6""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123527,"=""country""","=""United Arab Emirates""","=""ARE""","=""country""","=""United Arab Emirates""","=""36""","=""44.2""","=""54.1""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123507,"=""country""","=""United Arab Emirates""","=""ARE""","=""country""","=""United Arab Emirates""","=""34.5""","=""44.2""","=""56.1""","=""2000""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123528,"=""country""","=""United Arab Emirates""","=""ARE""","=""country""","=""United Arab Emirates""","=""36.4""","=""44.2""","=""54.1""","=""2001""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
