"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
121769,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""30.4""","=""33.8""","=""38""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121784,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""31""","=""33.9""","=""37.2""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121785,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""31.5""","=""33.9""","=""36.8""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121786,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""31.5""","=""34.1""","=""37.1""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121787,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""31.2""","=""34.2""","=""37.8""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121770,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""30.8""","=""34.4""","=""38.5""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121788,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""31.6""","=""34.8""","=""38.2""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121789,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""32.5""","=""35.3""","=""38.4""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121790,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""33.1""","=""35.8""","=""38.8""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121791,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""33""","=""36.3""","=""39.9""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121771,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""32.3""","=""36.5""","=""40.9""","=""2000""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121792,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""33""","=""36.3""","=""39.8""","=""2001""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121793,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""33.2""","=""35.9""","=""39.1""","=""2002""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121794,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""32.8""","=""35.4""","=""38.5""","=""2003""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121795,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""31.9""","=""35""","=""38.6""","=""2004""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121772,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""30.9""","=""34.8""","=""39""","=""2005""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121796,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""32""","=""35""","=""38.5""","=""2006""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121797,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""32.8""","=""35.6""","=""38.6""","=""2007""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121798,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""33.3""","=""36.4""","=""39.6""","=""2008""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121799,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""33.6""","=""37.3""","=""41.1""","=""2009""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121773,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""33.8""","=""38.3""","=""43.1""","=""2010""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121774,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""35.1""","=""39.6""","=""44.7""","=""2011""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121775,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""33.6""","=""38""","=""42.8""","=""2012""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121776,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""34.7""","=""38.8""","=""43.2""","=""2013""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121777,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""32.5""","=""36.4""","=""40.6""","=""2014""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121778,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""34.2""","=""38.7""","=""43.4""","=""2015""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121779,"=""country""","=""Iran (Islamic Republic of)""","=""IRN""","=""country""","=""Iran (Islamic Republic of)""","=""33.5""","=""37.5""","=""42.1""","=""2016""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
