"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
121893,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""32.5""","=""43.4""","=""57.2""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121908,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""33.4""","=""42""","=""51.5""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121909,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""33.4""","=""40.8""","=""48.9""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121910,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""33""","=""40""","=""47.6""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121911,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""32.1""","=""39.4""","=""48.1""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121894,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""30.1""","=""39.2""","=""50.1""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121912,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""32.2""","=""39.5""","=""48.6""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121913,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""33.3""","=""40.1""","=""48.4""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121914,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""34""","=""40.9""","=""49.7""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121915,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""33.5""","=""41.6""","=""51.4""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121895,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""31.5""","=""42""","=""54.6""","=""2000""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121916,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""33.7""","=""42.2""","=""53""","=""2001""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121917,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""34.2""","=""42.2""","=""51""","=""2002""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121918,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""34.5""","=""42.3""","=""51.5""","=""2003""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121919,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""33.5""","=""42.3""","=""52.8""","=""2004""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121896,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""31.8""","=""42.5""","=""55.1""","=""2005""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121920,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""33.7""","=""43.2""","=""53.8""","=""2006""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121921,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""36.1""","=""44.8""","=""54.4""","=""2007""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121922,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""37.8""","=""46.5""","=""57""","=""2008""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121923,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""37.8""","=""48""","=""60.8""","=""2009""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121897,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""35.8""","=""48.6""","=""65""","=""2010""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121898,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""33.4""","=""44.6""","=""58""","=""2011""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121899,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""32.8""","=""43.8""","=""57""","=""2012""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121900,"=""country""","=""Iraq""","=""IRQ""","=""country""","=""Iraq""","=""32.2""","=""42.9""","=""56.5""","=""2013""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
