"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
4961,"=""aggregated""","=""-99999""","=""-99999""","=""region""","=""North Africa and Middle East""","=""32.4""","=""36.9""","=""41.6""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""GBD Regions""","=""µg/m3"""
4962,"=""aggregated""","=""-99999""","=""-99999""","=""region""","=""North Africa and Middle East""","=""33.3""","=""37.2""","=""41.2""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""GBD Regions""","=""µg/m3"""
4963,"=""aggregated""","=""-99999""","=""-99999""","=""region""","=""North Africa and Middle East""","=""34""","=""37.5""","=""41.3""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""GBD Regions""","=""µg/m3"""
4964,"=""aggregated""","=""-99999""","=""-99999""","=""region""","=""North Africa and Middle East""","=""34.4""","=""37.8""","=""41.7""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""GBD Regions""","=""µg/m3"""
4965,"=""aggregated""","=""-99999""","=""-99999""","=""region""","=""North Africa and Middle East""","=""34.2""","=""38""","=""42.4""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""GBD Regions""","=""µg/m3"""
4966,"=""aggregated""","=""-99999""","=""-99999""","=""region""","=""North Africa and Middle East""","=""33.5""","=""38.2""","=""43.6""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""GBD Regions""","=""µg/m3"""
4967,"=""aggregated""","=""-99999""","=""-99999""","=""region""","=""North Africa and Middle East""","=""34.6""","=""38.5""","=""42.8""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""GBD Regions""","=""µg/m3"""
4968,"=""aggregated""","=""-99999""","=""-99999""","=""region""","=""North Africa and Middle East""","=""35.5""","=""38.9""","=""42.6""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""GBD Regions""","=""µg/m3"""
4969,"=""aggregated""","=""-99999""","=""-99999""","=""region""","=""North Africa and Middle East""","=""35.9""","=""39.4""","=""43.1""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""GBD Regions""","=""µg/m3"""
4970,"=""aggregated""","=""-99999""","=""-99999""","=""region""","=""North Africa and Middle East""","=""35.9""","=""39.8""","=""43.7""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""GBD Regions""","=""µg/m3"""
