"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
120653,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""17.9""","=""32.3""","=""53.4""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120668,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""20.5""","=""32.2""","=""49.5""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120669,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""21.9""","=""32""","=""46.4""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120670,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""22.3""","=""31.9""","=""44.6""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120671,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""21.9""","=""31.7""","=""45.9""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120654,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""20.5""","=""31.6""","=""47.4""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120672,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""22.8""","=""31.5""","=""43.5""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120673,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""24.6""","=""31.4""","=""40.2""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120674,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""25.6""","=""31.4""","=""38.6""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120675,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""26""","=""31.2""","=""37.9""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120655,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""25.5""","=""30.9""","=""37.7""","=""2000""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120676,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""26""","=""29.9""","=""34.6""","=""2001""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120677,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""25.2""","=""28.4""","=""32.3""","=""2002""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120678,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""23.4""","=""26.5""","=""30.1""","=""2003""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120679,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""21.3""","=""24.7""","=""28.7""","=""2004""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120656,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""19.5""","=""23.4""","=""28.1""","=""2005""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120680,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""19.2""","=""22.4""","=""26.1""","=""2006""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120681,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""18.8""","=""21.4""","=""24.3""","=""2007""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120682,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""18.1""","=""20.5""","=""23.2""","=""2008""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120683,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""17.4""","=""19.9""","=""22.7""","=""2009""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120657,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""16.7""","=""19.7""","=""23""","=""2010""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120658,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""18.8""","=""22.5""","=""27.2""","=""2011""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120659,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""17""","=""20.2""","=""24.1""","=""2012""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120660,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""18""","=""20.9""","=""24.7""","=""2013""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
120661,"=""country""","=""Mexico""","=""MEX""","=""country""","=""Mexico""","=""16.7""","=""19.7""","=""23.5""","=""2014""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
