"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
114329,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""3.37""","=""7.15""","=""14.1""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114344,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""4.01""","=""7.09""","=""12.4""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114345,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""4.28""","=""7.04""","=""11.7""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114346,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""4.42""","=""7""","=""11""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114347,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""4.24""","=""6.96""","=""11.4""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114330,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""3.78""","=""6.93""","=""12.2""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114348,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""4.31""","=""6.92""","=""11""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114349,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""4.58""","=""6.92""","=""10.1""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114350,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""4.67""","=""6.93""","=""9.94""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114351,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""4.55""","=""6.94""","=""10.2""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114331,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""4.24""","=""6.92""","=""10.7""","=""2000""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114352,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""4.82""","=""6.86""","=""9.52""","=""2001""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114353,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""5.13""","=""6.75""","=""8.65""","=""2002""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114354,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""5.15""","=""6.64""","=""8.28""","=""2003""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114355,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""5.05""","=""6.55""","=""8.3""","=""2004""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114332,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""4.92""","=""6.52""","=""8.35""","=""2005""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114356,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""5.4""","=""6.57""","=""7.93""","=""2006""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114357,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""5.78""","=""6.69""","=""7.73""","=""2007""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
114358,"=""country""","=""New Zealand""","=""NZL""","=""country""","=""New Zealand""","=""6.09""","=""6.83""","=""7.64""","=""2008""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
