"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
116437,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""6.79""","=""12.1""","=""20.2""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116452,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""7.78""","=""11.9""","=""17.9""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116453,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""8.21""","=""11.7""","=""16.5""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116454,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""8.35""","=""11.5""","=""16""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116455,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""8.05""","=""11.3""","=""15.9""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116438,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""7.58""","=""11.2""","=""15.8""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116456,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""8.42""","=""11""","=""14.1""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116457,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""9.12""","=""10.9""","=""12.8""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116458,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""9.52""","=""10.8""","=""12.1""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116459,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""9.78""","=""10.6""","=""11.6""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116439,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""9.86""","=""10.5""","=""11.1""","=""2000""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116460,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""9.8""","=""10.2""","=""10.5""","=""2001""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116461,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""9.47""","=""9.77""","=""10""","=""2002""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116462,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""9""","=""9.31""","=""9.59""","=""2003""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116463,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""8.51""","=""8.88""","=""9.29""","=""2004""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116440,"=""country""","=""Norway""","=""NOR""","=""country""","=""Norway""","=""8.12""","=""8.58""","=""9.12""","=""2005""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
