"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
129705,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""40""","=""65""","=""99.7""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129720,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""42.7""","=""63.6""","=""92""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129721,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""42.9""","=""62.6""","=""87.3""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129722,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""42.7""","=""62""","=""85""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129723,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""41.1""","=""61.7""","=""89.3""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129706,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""37.5""","=""61.6""","=""95.1""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129724,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""42""","=""62.2""","=""90.3""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129725,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""44.5""","=""63.7""","=""89.2""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129726,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""45.8""","=""65.5""","=""92.2""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129727,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""44.8""","=""67""","=""98.5""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129707,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""39.4""","=""67.6""","=""104""","=""2000""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129728,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""43.9""","=""66.5""","=""98""","=""2001""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129729,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""44.9""","=""63.7""","=""90""","=""2002""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129730,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""43""","=""60.2""","=""84.6""","=""2003""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129731,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""39""","=""56.9""","=""81.6""","=""2004""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129708,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""34.5""","=""54.6""","=""84.1""","=""2005""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129732,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""36""","=""53.2""","=""77.1""","=""2006""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129733,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""36.8""","=""51.8""","=""71.6""","=""2007""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129734,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""35.9""","=""50.6""","=""70""","=""2008""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129735,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""33.7""","=""49.8""","=""71.3""","=""2009""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129709,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""30.2""","=""49.5""","=""74.1""","=""2010""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129710,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""33.4""","=""55.1""","=""88.7""","=""2011""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129711,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""36.1""","=""59.3""","=""93.7""","=""2012""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129712,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""31.2""","=""48.1""","=""71""","=""2013""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129713,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""31""","=""48.2""","=""73.7""","=""2014""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129714,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""46.4""","=""77.1""","=""126""","=""2015""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129715,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""40.3""","=""65.4""","=""98.9""","=""2016""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129716,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""40.2""","=""63.2""","=""96.8""","=""2017""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129717,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""36.8""","=""57""","=""86.8""","=""2018""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129718,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""33.4""","=""51.7""","=""79.7""","=""2019""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
129719,"=""country""","=""Nigeria""","=""NGA""","=""country""","=""Nigeria""","=""35.4""","=""56.5""","=""88.7""","=""2020""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
,"=""""","=""""",,,,,,,,,,,
,"=""citation""","=""Health Effects Institute. 2024. State of Global Air 2024. www.stateofglobalair.org [accessed: 9/27/2025]. Data source: Global Burden of Disease Study 2020. IHME, 2024.""",,,,,,,,,,,
