"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
122885,"=""country""","=""Qatar""","=""QAT""","=""country""","=""Qatar""","=""68.3""","=""89.4""","=""115""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122900,"=""country""","=""Qatar""","=""QAT""","=""country""","=""Qatar""","=""70.5""","=""87.7""","=""108""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122901,"=""country""","=""Qatar""","=""QAT""","=""country""","=""Qatar""","=""71.1""","=""86.3""","=""104""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122902,"=""country""","=""Qatar""","=""QAT""","=""country""","=""Qatar""","=""70.4""","=""85.2""","=""103""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122903,"=""country""","=""Qatar""","=""QAT""","=""country""","=""Qatar""","=""68.7""","=""84.6""","=""104""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122886,"=""country""","=""Qatar""","=""QAT""","=""country""","=""Qatar""","=""64.9""","=""84.4""","=""108""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122904,"=""country""","=""Qatar""","=""QAT""","=""country""","=""Qatar""","=""68.2""","=""84.6""","=""103""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122905,"=""country""","=""Qatar""","=""QAT""","=""country""","=""Qatar""","=""71""","=""85.3""","=""102""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122906,"=""country""","=""Qatar""","=""QAT""","=""country""","=""Qatar""","=""70.6""","=""86.2""","=""103""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122907,"=""country""","=""Qatar""","=""QAT""","=""country""","=""Qatar""","=""69.5""","=""87.3""","=""108""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
