"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
116809,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""6.18""","=""11.1""","=""18.6""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116824,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""7.14""","=""10.9""","=""16.5""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116825,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""7.54""","=""10.7""","=""15.1""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116826,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""7.66""","=""10.6""","=""14.6""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116827,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""7.42""","=""10.4""","=""14.7""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116810,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""6.96""","=""10.2""","=""14.5""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116828,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""7.74""","=""10.1""","=""13""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116829,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""8.35""","=""10""","=""11.9""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116830,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""8.84""","=""9.91""","=""11.2""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116831,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""9.15""","=""9.82""","=""10.6""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116811,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""9.22""","=""9.7""","=""10.2""","=""2000""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116832,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""9.19""","=""9.5""","=""9.76""","=""2001""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116833,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""8.98""","=""9.22""","=""9.42""","=""2002""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116834,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""8.67""","=""8.92""","=""9.17""","=""2003""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116835,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""8.31""","=""8.64""","=""8.97""","=""2004""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116812,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""8.02""","=""8.42""","=""8.85""","=""2005""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116836,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""7.94""","=""8.26""","=""8.61""","=""2006""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116837,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""7.82""","=""8.09""","=""8.4""","=""2007""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116838,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""7.67""","=""7.96""","=""8.24""","=""2008""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116839,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""7.54""","=""7.86""","=""8.18""","=""2009""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116813,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""7.42""","=""7.82""","=""8.2""","=""2010""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116814,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""7.53""","=""7.91""","=""8.3""","=""2011""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116815,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""6.33""","=""6.61""","=""6.94""","=""2012""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116816,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""6.25""","=""6.56""","=""6.88""","=""2013""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116817,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""6.47""","=""6.77""","=""7.08""","=""2014""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116818,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""6.03""","=""6.3""","=""6.58""","=""2015""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116819,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""5.43""","=""5.7""","=""5.99""","=""2016""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116820,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""5.79""","=""6.06""","=""6.36""","=""2017""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116821,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""6.01""","=""6.29""","=""6.59""","=""2018""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116822,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""5.78""","=""6.07""","=""6.37""","=""2019""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
116823,"=""country""","=""Sweden""","=""SWE""","=""country""","=""Sweden""","=""5.21""","=""5.64""","=""6.09""","=""2020""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
,"=""""","=""""",,,,,,,,,,,
,"=""citation""","=""Health Effects Institute. 2024. State of Global Air 2024. www.stateofglobalair.org [accessed: 9/27/2025]. Data source: Global Burden of Disease Study 2020. IHME, 2024.""",,,,,,,,,,,
