"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
121025,"=""country""","=""Venezuela (Bolivarian Republic of)""","=""VEN""","=""country""","=""Venezuela (Bolivarian Republic of)""","=""12""","=""22.8""","=""40.1""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121040,"=""country""","=""Venezuela (Bolivarian Republic of)""","=""VEN""","=""country""","=""Venezuela (Bolivarian Republic of)""","=""14.1""","=""22.8""","=""36.6""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121041,"=""country""","=""Venezuela (Bolivarian Republic of)""","=""VEN""","=""country""","=""Venezuela (Bolivarian Republic of)""","=""15.1""","=""22.8""","=""33.3""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121042,"=""country""","=""Venezuela (Bolivarian Republic of)""","=""VEN""","=""country""","=""Venezuela (Bolivarian Republic of)""","=""15.3""","=""22.8""","=""32.2""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121043,"=""country""","=""Venezuela (Bolivarian Republic of)""","=""VEN""","=""country""","=""Venezuela (Bolivarian Republic of)""","=""14.9""","=""22.8""","=""34.2""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121026,"=""country""","=""Venezuela (Bolivarian Republic of)""","=""VEN""","=""country""","=""Venezuela (Bolivarian Republic of)""","=""13.5""","=""22.8""","=""36.8""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121044,"=""country""","=""Venezuela (Bolivarian Republic of)""","=""VEN""","=""country""","=""Venezuela (Bolivarian Republic of)""","=""15.6""","=""22.8""","=""33.1""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121045,"=""country""","=""Venezuela (Bolivarian Republic of)""","=""VEN""","=""country""","=""Venezuela (Bolivarian Republic of)""","=""16.7""","=""23""","=""30.6""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121046,"=""country""","=""Venezuela (Bolivarian Republic of)""","=""VEN""","=""country""","=""Venezuela (Bolivarian Republic of)""","=""17.5""","=""23.1""","=""30.1""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
121047,"=""country""","=""Venezuela (Bolivarian Republic of)""","=""VEN""","=""country""","=""Venezuela (Bolivarian Republic of)""","=""17.6""","=""23.2""","=""30.5""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
