"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
123009,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""36.9""","=""46.8""","=""59.1""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123024,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""38.5""","=""46.7""","=""56.7""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123025,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""39""","=""46.7""","=""55.2""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123026,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""38.9""","=""46.7""","=""55""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123027,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""38.4""","=""46.7""","=""56.8""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123010,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""36.7""","=""46.7""","=""59""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123028,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""38.8""","=""47.4""","=""57.6""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123029,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""41""","=""49""","=""58.3""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123030,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""43.3""","=""51.1""","=""60.5""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123031,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""44""","=""53.3""","=""64.4""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123011,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""43.2""","=""54.8""","=""68.4""","=""2000""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123032,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""46.3""","=""56""","=""66.8""","=""2001""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
123033,"=""country""","=""Saudi Arabia""","=""SAU""","=""country""","=""Saudi Arabia""","=""48.4""","=""57.1""","=""66.4""","=""2002""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
