"Sector Source","Percent Contributions"
"Energy",4.6
"Residential",3
"Industry",4.1
"Transport",17.7
"Waste",4.7
"Agriculture",4.6
"Agr. Waste Burning",0.5
"Other Fires",2.4
"Windblown Dust",30.9
"Shipping",5.5
"Anthropogenic dust",13.1
"Commercial",0.4
"Solvents",0
"Other Combustion",0.5
"Remaining Sources",8.3
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
