"Sector Source","Percent Contributions"
"Energy",9.5
"Residential",18
"Industry",14.3
"Transport",7.6
"Waste",8.9
"Agriculture",11
"Agr. Waste Burning",0.5
"Other Fires",0.9
"Windblown Dust",9.2
"Shipping",0.3
"Anthropogenic dust",12.8
"Commercial",1.8
"Solvents",0.2
"Other Combustion",1.3
"Remaining Sources",3.8
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
