"Sector Source","Percent Contributions"
"Energy",11.7
"Residential",4
"Industry",5.3
"Transport",6.3
"Waste",5.8
"Agriculture",5.6
"Agr. Waste Burning",0.3
"Other Fires",0.1
"Windblown Dust",42
"Shipping",1.9
"Anthropogenic dust",11.8
"Commercial",0.3
"Solvents",0
"Other Combustion",0.5
"Remaining Sources",4.7
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
