"Sector Source","Percent Contributions"
"Energy",14.5
"Residential",1.2
"Industry",4.3
"Transport",9.1
"Waste",3.8
"Agriculture",5.1
"Agr. Waste Burning",0.2
"Other Fires",0.2
"Windblown Dust",56.6
"Shipping",0.3
"Anthropogenic dust",4.3
"Commercial",0.3
"Solvents",0
"Other Combustion",0.3
"Remaining Sources",0
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
