"Sector Source","Percent Contributions"
"Energy",1.7
"Residential",1.7
"Industry",6.7
"Transport",6.8
"Waste",0.3
"Agriculture",12.5
"Agr. Waste Burning",0.2
"Other Fires",2.9
"Windblown Dust",5.8
"Shipping",4.2
"Anthropogenic dust",1
"Commercial",0.4
"Solvents",0
"Other Combustion",1.4
"Remaining Sources",54.5
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
