"Sector Source","Percent Contributions"
"Energy",1.9
"Residential",10.9
"Industry",1.3
"Transport",2.6
"Waste",1.1
"Agriculture",0.1
"Agr. Waste Burning",1.2
"Other Fires",4.8
"Windblown Dust",70.6
"Shipping",0.1
"Anthropogenic dust",2.2
"Commercial",0.9
"Solvents",0
"Other Combustion",0
"Remaining Sources",2.3
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
