"Sector Source","Percent Contributions"
"Energy",6.6
"Residential",10.8
"Industry",9.3
"Transport",5.5
"Waste",0.6
"Agriculture",10.2
"Agr. Waste Burning",0.2
"Other Fires",1.4
"Windblown Dust",18
"Shipping",5.3
"Anthropogenic dust",10.6
"Commercial",1.3
"Solvents",0
"Other Combustion",2.3
"Remaining Sources",18
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
