"Sector Source","Percent Contributions"
"Energy",21.9
"Residential",0.6
"Industry",5.8
"Transport",6.4
"Waste",1
"Agriculture",2.8
"Agr. Waste Burning",0
"Other Fires",0
"Windblown Dust",58.8
"Shipping",0.1
"Anthropogenic dust",1.3
"Commercial",0.1
"Solvents",0
"Other Combustion",0.1
"Remaining Sources",1.1
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
