"Sector Source","Percent Contributions"
"Energy",14.9
"Residential",9.3
"Industry",7.2
"Transport",5.9
"Waste",3.6
"Agriculture",9
"Agr. Waste Burning",2.1
"Other Fires",4.5
"Windblown Dust",14.5
"Shipping",0.4
"Anthropogenic dust",15.9
"Commercial",1.4
"Solvents",0
"Other Combustion",0.9
"Remaining Sources",10.4
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
