"Sector Source","Percent Contributions"
"Energy",15.4
"Residential",1.1
"Industry",7.2
"Transport",5.2
"Waste",1.3
"Agriculture",2.7
"Agr. Waste Burning",0.1
"Other Fires",0.1
"Windblown Dust",63.7
"Shipping",0.5
"Anthropogenic dust",1.6
"Commercial",0.1
"Solvents",0
"Other Combustion",0.1
"Remaining Sources",1.1
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
