"Sector Source","Percent Contributions"
"Energy",11.9
"Residential",8.5
"Industry",11.1
"Transport",15.4
"Waste",3.1
"Agriculture",10
"Agr. Waste Burning",1.3
"Other Fires",11.6
"Windblown Dust",2.4
"Shipping",1.4
"Anthropogenic dust",2.7
"Commercial",2.4
"Solvents",0.1
"Other Combustion",5.9
"Remaining Sources",12.1
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
