"Sector Source","Percent Contributions"
"Energy",4.1
"Residential",1.9
"Industry",5
"Transport",6.6
"Waste",3.2
"Agriculture",2.5
"Agr. Waste Burning",0.6
"Other Fires",5.9
"Windblown Dust",49.3
"Shipping",1.7
"Anthropogenic dust",2.2
"Commercial",0.2
"Solvents",0
"Other Combustion",0.1
"Remaining Sources",16.6
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
